uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"fa6edd1a-d72c-4049-b27c-423f4576ea57","2018-06-06","KONZ_069.basePlot.ltr","D06","KONZ","KONZ_069","tower","2017-10-10T00:00Z","2017-10-24T17:00Z","NEON.LTR.KONZ069.20171024.LVS","NEON.LTR.KONZ069.20171024.LVS.CN",,"vegetation","N",-0.7,-28.9,1.19,46.91,39.4,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4fd65398-6dfe-443d-b04d-475dda9498cc","2018-06-06","KONZ_064.basePlot.ltr","D06","KONZ","KONZ_064","tower","2017-10-10T00:00Z","2017-10-24T17:00Z","NEON.LTR.KONZ064.20171024.LVS","NEON.LTR.KONZ064.20171024.LVS.CN",,"vegetation","N",-1.6,-28.9,0.89,46.24,51.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"61292838-5644-4191-9626-f072a2ca6188","2018-06-06","KONZ_069.basePlot.ltr","D06","KONZ","KONZ_069","tower","2017-10-10T00:00Z","2017-10-24T17:00Z","NEON.LTR.KONZ069.20171024.LVS","NEON.LTR.KONZ069.20171024.LVS.CN",,"vegetation","N",-0.6,-29.0,1.13,47.00,41.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"31ab9b56-d280-46ce-a527-45cf0e10f984","2018-06-06","KONZ_053.basePlot.ltr","D06","KONZ","KONZ_053","tower","2017-10-10T17:00Z","2017-10-24T17:00Z","NEON.LTR.KONZ053.20171024.LVS","NEON.LTR.KONZ053.20171024.LVS.CN",,"vegetation","N",0.7,-29.3,0.97,47.21,48.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"907d54e2-d7dd-4ecd-901f-6daf2595979c","2018-06-06","KONZ_061.basePlot.ltr","D06","KONZ","KONZ_061","tower","2017-10-10T17:00Z","2017-10-24T17:00Z","NEON.LTR.KONZ061.20171024.LVS","NEON.LTR.KONZ061.20171024.LVS.CN",,"vegetation","N",-2.6,-28.2,0.70,47.21,67.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
