site_id,horizon,incubation_treatment,temp_treatment_degC_above_MST,moisture_treatment_kPa,MST_degC,incubation_temp_degC,fraction,horizon_type,sample_name,oven_dry_mass_g,t13_cumul_resp_ugC_per_gsoil,t13_cumul_spec_resp_ugC_per_gC,t26_cumul_resp_ugC_per_gsoil,t26_cumul_spec_resp_ugC_per_gC,t52_cumul_resp_ugC_per_gsoil,t52_cumul_spec_resp_ugC_per_gC,notes
CLBJ,A1,0MST150,0,-150,27.5,27.5,BULK,A-Horizon,CLBJ_A1_0MST150_0_-150_27.5_27.5_BULK_A-Horizon,19.87,1041,70667,1563,106169,2361,160374,NA
CLBJ,A1,0MST33,0,-33,27.5,27.5,BULK,A-Horizon,CLBJ_A1_0MST33_0_-33_27.5_27.5_BULK_A-Horizon,19.84,1080,73335,1675,113781,2510,170440,NA
CLBJ,A1,5MST400,5,-400,27.5,27.5,BULK,A-Horizon,CLBJ_A1_5MST400_5_-400_27.5_27.5_BULK_A-Horizon,19.89,1376,93470,1998,135677,2786,189233,NA
CLBJ,A1,5MST150,5,-150,27.5,27.5,BULK,A-Horizon,CLBJ_A1_5MST150_5_-150_27.5_27.5_BULK_A-Horizon,19.84,1411,95808,2027,137632,2686,182431,NA
CLBJ,A1,5MST33,5,-33,27.5,27.5,BULK,A-Horizon,CLBJ_A1_5MST33_5_-33_27.5_27.5_BULK_A-Horizon,19.88,1535,104277,2207,149860,3242,220151,NA
CLBJ,Bt1,0MST400,0,-400,27.5,27.5,BULK,Upper B-Horizon,CLBJ_Bt1_0MST400_0_-400_27.5_27.5_BULK_Upper B-Horizon,19.75,61,22319,111,40962,175,64359,NA
CLBJ,Bt1,0MST150,0,-150,27.5,27.5,BULK,Upper B-Horizon,CLBJ_Bt1_0MST150_0_-150_27.5_27.5_BULK_Upper B-Horizon,19.75,65,23888,114,42145,172,63202,NA
CLBJ,Bt1,0MST33,0,-33,27.5,27.5,BULK,Upper B-Horizon,CLBJ_Bt1_0MST33_0_-33_27.5_27.5_BULK_Upper B-Horizon,19.75,61,22459,115,42264,173,63754,NA
CLBJ,Bt1,5MST400,5,-400,27.5,27.5,BULK,Upper B-Horizon,CLBJ_Bt1_5MST400_5_-400_27.5_27.5_BULK_Upper B-Horizon,19.71,63,23151,132,48613,169,62366,NA
CLBJ,Bt1,5MST150,5,-150,27.5,27.5,BULK,Upper B-Horizon,CLBJ_Bt1_5MST150_5_-150_27.5_27.5_BULK_Upper B-Horizon,19.7,83,30379,170,62759,288,106072,NA
CLBJ,Bt1,5MST33,5,-33,27.5,27.5,BULK,Upper B-Horizon,CLBJ_Bt1_5MST33_5_-33_27.5_27.5_BULK_Upper B-Horizon,19.76,90,33079,172,63237,247,90979,NA
CPER,A1,0MST400,0,-400,20,20,BULK,A-Horizon,CPER_A1_0MST400_0_-400_20_20_BULK_A-Horizon,19.4,434,44754,610,62937,959,98983,NA
CPER,A1,0MST150,0,-150,20,20,BULK,A-Horizon,CPER_A1_0MST150_0_-150_20_20_BULK_A-Horizon,19.41,431,44486,590,60882,931,96008,NA
CPER,A1,0MST33,0,-33,20,20,BULK,A-Horizon,CPER_A1_0MST33_0_-33_20_20_BULK_A-Horizon,19.43,503,51877,716,73892,1138,117418,NA
CPER,A1,5MST400,5,-400,20,20,BULK,A-Horizon,CPER_A1_5MST400_5_-400_20_20_BULK_A-Horizon,19.41,615,63465,942,97137,1654,170601,NA
CPER,A1,5MST150,5,-150,20,20,BULK,A-Horizon,CPER_A1_5MST150_5_-150_20_20_BULK_A-Horizon,19.37,587,60530,896,92474,1627,167861,NA
CPER,A1,5MST33,5,-33,20,20,BULK,A-Horizon,CPER_A1_5MST33_5_-33_20_20_BULK_A-Horizon,19.42,619,63844,853,88012,1419,146397,NA
CPER,Bw1,0MST400,0,-400,20,20,BULK,Upper B-Horizon,CPER_Bw1_0MST400_0_-400_20_20_BULK_Upper B-Horizon,19.18,148,64623,277,121045,443,193876,NA
CPER,Bw1,0MST150,0,-150,20,20,BULK,Upper B-Horizon,CPER_Bw1_0MST150_0_-150_20_20_BULK_Upper B-Horizon,19.2,129,56339,205,89637,489,214072,NA
CPER,Bw1,0MST33,0,-33,20,20,BULK,Upper B-Horizon,CPER_Bw1_0MST33_0_-33_20_20_BULK_Upper B-Horizon,19.17,163,71278,301,131549,527,230323,NA
CPER,Bw1,5MST400,5,-400,20,20,BULK,Upper B-Horizon,CPER_Bw1_5MST400_5_-400_20_20_BULK_Upper B-Horizon,19.17,183,80192,319,139392,580,253592,NA
CPER,Bw1,5MST150,5,-150,20,20,BULK,Upper B-Horizon,CPER_Bw1_5MST150_5_-150_20_20_BULK_Upper B-Horizon,19.18,197,86285,308,134736,541,236780,NA
CPER,Bw1,5MST33,5,-33,20,20,BULK,Upper B-Horizon,CPER_Bw1_5MST33_5_-33_20_20_BULK_Upper B-Horizon,19.22,186,81478,315,137891,594,260056,NA
DCFS,A1,0MST400,0,-400,19.4,20,BULK,A-Horizon,DCFS_A1_0MST400_0_-400_19.4_20_BULK_A-Horizon,19.37,1474,29958,1986,40351,2785,56595,NA
DCFS,A1,0MST150,0,-150,19.4,20,BULK,A-Horizon,DCFS_A1_0MST150_0_-150_19.4_20_BULK_A-Horizon,19.36,1678,34097,2228,45276,2855,58016,NA
DCFS,A1,0MST33,0,-33,19.4,20,BULK,A-Horizon,DCFS_A1_0MST33_0_-33_19.4_20_BULK_A-Horizon,19.33,1991,40468,2598,52795,3441,69927,NA
DCFS,A1,5MST400,5,-400,19.4,20,BULK,A-Horizon,DCFS_A1_5MST400_5_-400_19.4_20_BULK_A-Horizon,19.38,1987,40373,2708,55026,3783,76863,NA
DCFS,A1,5MST150,5,-150,19.4,20,BULK,A-Horizon,DCFS_A1_5MST150_5_-150_19.4_20_BULK_A-Horizon,19.37,2274,46218,3061,62210,4185,85033,NA
DCFS,A1,5MST33,5,-33,19.4,20,BULK,A-Horizon,DCFS_A1_5MST33_5_-33_19.4_20_BULK_A-Horizon,19.38,2371,48180,3168,64374,4198,85306,NA
DCFS,Bw1,0MST400,0,-400,19.4,20,BULK,Upper B-Horizon,DCFS_Bw1_0MST400_0_-400_19.4_20_BULK_Upper B-Horizon,19.52,296,29466,396,39468,564,56197,NA
DCFS,Bw1,0MST150,0,-150,19.4,20,BULK,Upper B-Horizon,DCFS_Bw1_0MST150_0_-150_19.4_20_BULK_Upper B-Horizon,19.5,313,31137,403,40108,626,62399,NA
DCFS,Bw1,0MST33,0,-33,19.4,20,BULK,Upper B-Horizon,DCFS_Bw1_0MST33_0_-33_19.4_20_BULK_Upper B-Horizon,19.46,352,35023,458,45679,715,71246,NA
DCFS,Bw1,5MST400,5,-400,19.4,20,BULK,Upper B-Horizon,DCFS_Bw1_5MST400_5_-400_19.4_20_BULK_Upper B-Horizon,19.51,334,33301,439,43780,712,70903,NA
DCFS,Bw1,5MST150,5,-150,19.4,20,BULK,Upper B-Horizon,DCFS_Bw1_5MST150_5_-150_19.4_20_BULK_Upper B-Horizon,19.5,371,36946,503,50081,817,81441,NA
DCFS,Bw1,5MST33,5,-33,19.4,20,BULK,Upper B-Horizon,DCFS_Bw1_5MST33_5_-33_19.4_20_BULK_Upper B-Horizon,19.52,368,36667,527,52532,841,83807,NA
DSNY,A,0MST400,0,-400,27.7,27.5,BULK,A-Horizon,DSNY_A_0MST400_0_-400_27.7_27.5_BULK_A-Horizon,19.67,389,21326,526,28829,804,44071,NA
DSNY,A,0MST150,0,-150,27.7,27.5,BULK,A-Horizon,DSNY_A_0MST150_0_-150_27.7_27.5_BULK_A-Horizon,19.69,365,19983,432,23697,682,37373,NA
DSNY,A,0MST33,0,-33,27.7,27.5,BULK,A-Horizon,DSNY_A_0MST33_0_-33_27.7_27.5_BULK_A-Horizon,19.64,586,32105,828,45353,3034,166234,NA
DSNY,A,5MST400,5,-400,27.7,27.5,BULK,A-Horizon,DSNY_A_5MST400_5_-400_27.7_27.5_BULK_A-Horizon,19.7,519,28419,725,39706,1538,84267,NA
DSNY,A,5MST150,5,-150,27.7,27.5,BULK,A-Horizon,DSNY_A_5MST150_5_-150_27.7_27.5_BULK_A-Horizon,19.68,722,39540,1014,55570,1808,99071,NA
DSNY,A,5MST33,5,-33,27.7,27.5,BULK,A-Horizon,DSNY_A_5MST33_5_-33_27.7_27.5_BULK_A-Horizon,19.68,761,41713,1574,86255,5382,294926,NA
DSNY,Bh1,0MST400,0,-400,27.7,27.5,BULK,Upper B-Horizon,DSNY_Bh1_0MST400_0_-400_27.7_27.5_BULK_Upper B-Horizon,18.73,151,8746,285,16464,633,36572,NA
DSNY,Bh1,0MST150,0,-150,27.7,27.5,BULK,Upper B-Horizon,DSNY_Bh1_0MST150_0_-150_27.7_27.5_BULK_Upper B-Horizon,18.71,198,11439,531,30703,1339,77382,NA
DSNY,Bh1,0MST33,0,-33,27.7,27.5,BULK,Upper B-Horizon,DSNY_Bh1_0MST33_0_-33_27.7_27.5_BULK_Upper B-Horizon,18.74,218,12601,450,26020,1049,60638,NA
DSNY,Bh1,5MST400,5,-400,27.7,27.5,BULK,Upper B-Horizon,DSNY_Bh1_5MST400_5_-400_27.7_27.5_BULK_Upper B-Horizon,18.75,227,13107,564,32584,1227,70926,NA
DSNY,Bh1,5MST150,5,-150,27.7,27.5,BULK,Upper B-Horizon,DSNY_Bh1_5MST150_5_-150_27.7_27.5_BULK_Upper B-Horizon,18.76,361,20850,921,53194,1843,106495,NA
