site_id,horizon,incubation_treatment,temp_treatment_degC_above_MST,moisture_treatment_kPa,MST_degC,incubation_temp_degC,fraction,horizon_type,sample_name,oven_dry_mass_g,t13_cumul_resp_ugC_per_gsoil,t13_cumul_spec_resp_ugC_per_gC,t26_cumul_resp_ugC_per_gsoil,t26_cumul_spec_resp_ugC_per_gC,t52_cumul_resp_ugC_per_gsoil,t52_cumul_spec_resp_ugC_per_gC,notes
MOAB,A,0MST400,0,-400,21.9,22.5,BULK,A-Horizon,MOAB_A_0MST400_0_-400_21.9_22.5_BULK_A-Horizon,19.82,195,51389,314,82654,485,127687,NA
MOAB,A,0MST150,0,-150,21.9,22.5,BULK,A-Horizon,MOAB_A_0MST150_0_-150_21.9_22.5_BULK_A-Horizon,19.81,212,55922,341,89714,493,129762,NA
MOAB,A,0MST33,0,-33,21.9,22.5,BULK,A-Horizon,MOAB_A_0MST33_0_-33_21.9_22.5_BULK_A-Horizon,19.82,218,57445,358,94131,489,128775,NA
MOAB,A,5MST400,5,-400,21.9,22.5,BULK,A-Horizon,MOAB_A_5MST400_5_-400_21.9_22.5_BULK_A-Horizon,19.83,239,62973,390,102774,628,165337,NA
MOAB,A,5MST150,5,-150,21.9,22.5,BULK,A-Horizon,MOAB_A_5MST150_5_-150_21.9_22.5_BULK_A-Horizon,19.83,228,60081,369,97070,549,144515,NA
MOAB,A,5MST33,5,-33,21.9,22.5,BULK,A-Horizon,MOAB_A_5MST33_5_-33_21.9_22.5_BULK_A-Horizon,19.8,304,80066,531,139690,719,189289,NA
MOAB,Bk1,0MST400,0,-400,21.9,22.5,BULK,Upper B-Horizon,MOAB_Bk1_0MST400_0_-400_21.9_22.5_BULK_Upper B-Horizon,19.85,78,24147,128,39695,206,64063,NA
MOAB,Bk1,0MST150,0,-150,21.9,22.5,BULK,Upper B-Horizon,MOAB_Bk1_0MST150_0_-150_21.9_22.5_BULK_Upper B-Horizon,19.84,83,25604,126,39161,190,58807,NA
MOAB,Bk1,0MST33,0,-33,21.9,22.5,BULK,Upper B-Horizon,MOAB_Bk1_0MST33_0_-33_21.9_22.5_BULK_Upper B-Horizon,19.85,94,29085,147,45620,208,64474,NA
MOAB,Bk1,5MST400,5,-400,21.9,22.5,BULK,Upper B-Horizon,MOAB_Bk1_5MST400_5_-400_21.9_22.5_BULK_Upper B-Horizon,19.8,111,34483,191,59391,306,94798,NA
MOAB,Bk1,5MST150,5,-150,21.9,22.5,BULK,Upper B-Horizon,MOAB_Bk1_5MST150_5_-150_21.9_22.5_BULK_Upper B-Horizon,19.87,123,38061,179,55591,262,81384,NA
MOAB,Bk1,5MST33,5,-33,21.9,22.5,BULK,Upper B-Horizon,MOAB_Bk1_5MST33_5_-33_21.9_22.5_BULK_Upper B-Horizon,19.85,126,39150,210,65009,329,101945,NA
NGPR,A,0MST400,0,-400,19.9,20,BULK,A-Horizon,NGPR_A_0MST400_0_-400_19.9_20_BULK_A-Horizon,19.47,1050,42215,1396,56111,2015,81018,NA
NGPR,A,0MST150,0,-150,19.9,20,BULK,A-Horizon,NGPR_A_0MST150_0_-150_19.9_20_BULK_A-Horizon,19.48,1204,48413,1599,64280,2260,90865,NA
NGPR,A,0MST33,0,-33,19.9,20,BULK,A-Horizon,NGPR_A_0MST33_0_-33_19.9_20_BULK_A-Horizon,19.44,1177,47335,1643,66052,2361,94929,NA
NGPR,A,5MST400,5,-400,19.9,20,BULK,A-Horizon,NGPR_A_5MST400_5_-400_19.9_20_BULK_A-Horizon,19.46,1370,55083,1830,73580,2426,97516,NA
NGPR,A,5MST150,5,-150,19.9,20,BULK,A-Horizon,NGPR_A_5MST150_5_-150_19.9_20_BULK_A-Horizon,19.47,1824,73326,2488,100016,3123,125539,NA
NGPR,A,5MST33,5,-33,19.9,20,BULK,A-Horizon,NGPR_A_5MST33_5_-33_19.9_20_BULK_A-Horizon,19.4,1867,75069,2438,98015,3126,125668,NA
NGPR,Bt1,0MST400,0,-400,19.9,20,BULK,Upper B-Horizon,NGPR_Bt1_0MST400_0_-400_19.9_20_BULK_Upper B-Horizon,19.49,172,17593,242,24695,482,49260,NA
NGPR,Bt1,0MST150,0,-150,19.9,20,BULK,Upper B-Horizon,NGPR_Bt1_0MST150_0_-150_19.9_20_BULK_Upper B-Horizon,19.49,202,20620,269,27488,422,43137,NA
NGPR,Bt1,0MST33,0,-33,19.9,20,BULK,Upper B-Horizon,NGPR_Bt1_0MST33_0_-33_19.9_20_BULK_Upper B-Horizon,19.47,211,21587,314,32122,487,49700,NA
NGPR,Bt1,5MST400,5,-400,19.9,20,BULK,Upper B-Horizon,NGPR_Bt1_5MST400_5_-400_19.9_20_BULK_Upper B-Horizon,19.45,197,20097,270,27608,521,53227,NA
NGPR,Bt1,5MST150,5,-150,19.9,20,BULK,Upper B-Horizon,NGPR_Bt1_5MST150_5_-150_19.9_20_BULK_Upper B-Horizon,19.43,200,20400,261,26660,549,56049,NA
NGPR,Bt1,5MST33,5,-33,19.9,20,BULK,Upper B-Horizon,NGPR_Bt1_5MST33_5_-33_19.9_20_BULK_Upper B-Horizon,19.45,230,23507,318,32438,520,53115,NA
NIWO,A,0MST400,0,-400,9.2,10,BULK,A-Horizon,NIWO_A_0MST400_0_-400_9.2_10_BULK_A-Horizon,19.42,728,9198,1223,15444,1636,20668,NA
NIWO,A,0MST150,0,-150,9.2,10,BULK,A-Horizon,NIWO_A_0MST150_0_-150_9.2_10_BULK_A-Horizon,19.39,943,11911,1462,18466,1924,24309,NA
NIWO,A,0MST33,0,-33,9.2,10,BULK,A-Horizon,NIWO_A_0MST33_0_-33_9.2_10_BULK_A-Horizon,19.4,1018,12864,1538,19425,1988,25118,NA
NIWO,A,5MST400,5,-400,9.2,10,BULK,A-Horizon,NIWO_A_5MST400_5_-400_9.2_10_BULK_A-Horizon,19.38,1321,16689,1874,23678,2681,33872,NA
NIWO,A,5MST150,5,-150,9.2,10,BULK,A-Horizon,NIWO_A_5MST150_5_-150_9.2_10_BULK_A-Horizon,19.42,1526,19276,2033,25675,2498,31561,NA
NIWO,A,5MST33,5,-33,9.2,10,BULK,A-Horizon,NIWO_A_5MST33_5_-33_9.2_10_BULK_A-Horizon,19.36,1550,19577,2057,25987,2532,31984,NA
NIWO,Bw1,0MST400,0,-400,9.2,10,BULK,Upper B-Horizon,NIWO_Bw1_0MST400_0_-400_9.2_10_BULK_Upper B-Horizon,19.75,28,3801,37,5099,52,7078,NA
NIWO,Bw1,0MST150,0,-150,9.2,10,BULK,Upper B-Horizon,NIWO_Bw1_0MST150_0_-150_9.2_10_BULK_Upper B-Horizon,19.82,13,1737,16,2196,27,3708,NA
NIWO,Bw1,0MST33,0,-33,9.2,10,BULK,Upper B-Horizon,NIWO_Bw1_0MST33_0_-33_9.2_10_BULK_Upper B-Horizon,19.75,50,6832,74,10133,101,13828,NA
NIWO,Bw1,5MST400,5,-400,9.2,10,BULK,Upper B-Horizon,NIWO_Bw1_5MST400_5_-400_9.2_10_BULK_Upper B-Horizon,19.82,98,13433,125,17161,157,21521,NA
NIWO,Bw1,5MST150,5,-150,9.2,10,BULK,Upper B-Horizon,NIWO_Bw1_5MST150_5_-150_9.2_10_BULK_Upper B-Horizon,19.82,46,6316,63,8616,90,12303,NA
NIWO,Bw1,5MST33,5,-33,9.2,10,BULK,Upper B-Horizon,NIWO_Bw1_5MST33_5_-33_9.2_10_BULK_Upper B-Horizon,19.82,63,8577,93,12651,138,18893,NA
OSBS,A,0MST400,0,-400,27.2,27.5,BULK,A-Horizon,OSBS_A_0MST400_0_-400_27.2_27.5_BULK_A-Horizon,19.79,282,27800,364,35969,511,50471,NA
OSBS,A,0MST150,0,-150,27.2,27.5,BULK,A-Horizon,OSBS_A_0MST150_0_-150_27.2_27.5_BULK_A-Horizon,19.79,260,25667,339,33517,525,51849,NA
OSBS,A,0MST33,0,-33,27.2,27.5,BULK,A-Horizon,OSBS_A_0MST33_0_-33_27.2_27.5_BULK_A-Horizon,19.75,272,26863,352,34795,502,49518,NA
OSBS,A,5MST400,5,-400,27.2,27.5,BULK,A-Horizon,OSBS_A_5MST400_5_-400_27.2_27.5_BULK_A-Horizon,19.74,334,32942,437,43182,1048,103515,NA
OSBS,A,5MST150,5,-150,27.2,27.5,BULK,A-Horizon,OSBS_A_5MST150_5_-150_27.2_27.5_BULK_A-Horizon,19.79,317,31331,435,42898,1008,99566,NA
OSBS,A,5MST33,5,-33,27.2,27.5,BULK,A-Horizon,OSBS_A_5MST33_5_-33_27.2_27.5_BULK_A-Horizon,19.8,384,37895,525,51796,1056,104301,NA
OSBS,Bw1,0MST400,0,-400,27.2,27.5,BULK,Upper B-Horizon,OSBS_Bw1_0MST400_0_-400_27.2_27.5_BULK_Upper B-Horizon,19.57,40,25136,96,60184,340,212218,NA
OSBS,Bw1,0MST150,0,-150,27.2,27.5,BULK,Upper B-Horizon,OSBS_Bw1_0MST150_0_-150_27.2_27.5_BULK_Upper B-Horizon,19.59,42,26331,58,36426,162,100851,NA
OSBS,Bw1,0MST33,0,-33,27.2,27.5,BULK,Upper B-Horizon,OSBS_Bw1_0MST33_0_-33_27.2_27.5_BULK_Upper B-Horizon,19.56,51,31822,82,51136,157,98171,NA
OSBS,Bw1,5MST400,5,-400,27.2,27.5,BULK,Upper B-Horizon,OSBS_Bw1_5MST400_5_-400_27.2_27.5_BULK_Upper B-Horizon,19.61,105,65323,204,127336,778,485455,NA
OSBS,Bw1,5MST150,5,-150,27.2,27.5,BULK,Upper B-Horizon,OSBS_Bw1_5MST150_5_-150_27.2_27.5_BULK_Upper B-Horizon,19.59,84,52594,152,94846,578,360723,NA
OSBS,Bw1,5MST33,5,-33,27.2,27.5,BULK,Upper B-Horizon,OSBS_Bw1_5MST33_5_-33_27.2_27.5_BULK_Upper B-Horizon,19.59,105,65607,210,131160,630,392831,NA
RMNP,A1,0MST400,0,-400,13.7,15,BULK,A-Horizon,RMNP_A1_0MST400_0_-400_13.7_15_BULK_A-Horizon,19.66,713,37668,1012,53498,1406,74326,NA
RMNP,A1,0MST150,0,-150,13.7,15,BULK,A-Horizon,RMNP_A1_0MST150_0_-150_13.7_15_BULK_A-Horizon,19.64,786,41540,1210,63980,1638,86606,NA
RMNP,A1,0MST33,0,-33,13.7,15,BULK,A-Horizon,RMNP_A1_0MST33_0_-33_13.7_15_BULK_A-Horizon,19.66,866,45775,1321,69806,1772,93646,NA
RMNP,A1,5MST400,5,-400,13.7,15,BULK,A-Horizon,RMNP_A1_5MST400_5_-400_13.7_15_BULK_A-Horizon,19.64,1013,53553,1406,74309,1845,97505,NA
RMNP,A1,5MST150,5,-150,13.7,15,BULK,A-Horizon,RMNP_A1_5MST150_5_-150_13.7_15_BULK_A-Horizon,19.66,1087,57454,1521,80422,1989,105122,NA
RMNP,A1,5MST33,5,-33,13.7,15,BULK,A-Horizon,RMNP_A1_5MST33_5_-33_13.7_15_BULK_A-Horizon,19.64,1291,68268,1907,100809,2493,131808,NA
RMNP,Bt,0MST400,0,-400,13.7,15,BULK,Upper B-Horizon,RMNP_Bt_0MST400_0_-400_13.7_15_BULK_Upper B-Horizon,19.25,107,19575,158,28830,288,52546,NA
RMNP,Bt,0MST150,0,-150,13.7,15,BULK,Upper B-Horizon,RMNP_Bt_0MST150_0_-150_13.7_15_BULK_Upper B-Horizon,19.25,119,21790,182,33278,325,59423,NA
RMNP,Bt,0MST33,0,-33,13.7,15,BULK,Upper B-Horizon,RMNP_Bt_0MST33_0_-33_13.7_15_BULK_Upper B-Horizon,19.32,122,22311,175,31947,318,58066,NA
RMNP,Bt,5MST400,5,-400,13.7,15,BULK,Upper B-Horizon,RMNP_Bt_5MST400_5_-400_13.7_15_BULK_Upper B-Horizon,19.29,114,20812,170,31101,347,63416,NA
RMNP,Bt,5MST150,5,-150,13.7,15,BULK,Upper B-Horizon,RMNP_Bt_5MST150_5_-150_13.7_15_BULK_Upper B-Horizon,19.29,139,25377,209,38128,350,63980,NA
RMNP,Bt,5MST33,5,-33,13.7,15,BULK,Upper B-Horizon,RMNP_Bt_5MST33_5_-33_13.7_15_BULK_Upper B-Horizon,19.26,146,26696,214,39063,361,65997,NA
SERC,A,0MST400,0,-400,24.2,25,BULK,A-Horizon,SERC_A_0MST400_0_-400_24.2_25_BULK_A-Horizon,19.65,1401,45945,1895,62133,2726,89369,NA
SERC,A,0MST150,0,-150,24.2,25,BULK,A-Horizon,SERC_A_0MST150_0_-150_24.2_25_BULK_A-Horizon,19.71,1573,51579,2208,72402,3180,104278,NA
SERC,A,0MST33,0,-33,24.2,25,BULK,A-Horizon,SERC_A_0MST33_0_-33_24.2_25_BULK_A-Horizon,19.7,1699,55717,2256,73968,3137,102868,NA
SERC,A,5MST400,5,-400,24.2,25,BULK,A-Horizon,SERC_A_5MST400_5_-400_24.2_25_BULK_A-Horizon,19.66,2075,68052,3791,124314,4926,161536,NA
SERC,A,5MST150,5,-150,24.2,25,BULK,A-Horizon,SERC_A_5MST150_5_-150_24.2_25_BULK_A-Horizon,19.71,2149,70477,3334,109311,4794,157183,NA
SERC,A,5MST33,5,-33,24.2,25,BULK,A-Horizon,SERC_A_5MST33_5_-33_24.2_25_BULK_A-Horizon,19.7,1882,61712,2438,79931,3295,108032,NA
SERC,Bt1,0MST400,0,-400,24.2,25,BULK,Upper B-Horizon,SERC_Bt1_0MST400_0_-400_24.2_25_BULK_Upper B-Horizon,19.6,153,60035,300,117901,550,216200,NA
SERC,Bt1,0MST150,0,-150,24.2,25,BULK,Upper B-Horizon,SERC_Bt1_0MST150_0_-150_24.2_25_BULK_Upper B-Horizon,19.61,55,21524,143,56142,356,140060,NA
SERC,Bt1,0MST33,0,-33,24.2,25,BULK,Upper B-Horizon,SERC_Bt1_0MST33_0_-33_24.2_25_BULK_Upper B-Horizon,19.6,68,26726,141,55268,357,140511,NA
SERC,Bt1,5MST400,5,-400,24.2,25,BULK,Upper B-Horizon,SERC_Bt1_5MST400_5_-400_24.2_25_BULK_Upper B-Horizon,19.59,70,27631,119,46864,286,112551,NA
SERC,Bt1,5MST150,5,-150,24.2,25,BULK,Upper B-Horizon,SERC_Bt1_5MST150_5_-150_24.2_25_BULK_Upper B-Horizon,19.6,68,26730,111,43725,335,131750,NA
SERC,Bt1,5MST33,5,-33,24.2,25,BULK,Upper B-Horizon,SERC_Bt1_5MST33_5_-33_24.2_25_BULK_Upper B-Horizon,19.62,74,29261,115,45185,299,117404,NA
STEI,A1,0MST400,0,-400,17.9,17.5,BULK,A-Horizon,STEI_A1_0MST400_0_-400_17.9_17.5_BULK_A-Horizon,19.69,1275,37031,1863,54128,2635,76541,NA
STEI,A1,0MST150,0,-150,17.9,17.5,BULK,A-Horizon,STEI_A1_0MST150_0_-150_17.9_17.5_BULK_A-Horizon,19.73,1480,43002,2216,64370,3042,88363,NA
STEI,A1,0MST33,0,-33,17.9,17.5,BULK,A-Horizon,STEI_A1_0MST33_0_-33_17.9_17.5_BULK_A-Horizon,19.71,1691,49111,2186,63503,2783,80845,NA
STEI,A1,5MST400,5,-400,17.9,17.5,BULK,A-Horizon,STEI_A1_5MST400_5_-400_17.9_17.5_BULK_A-Horizon,19.76,1829,53130,2713,78810,4033,117163,NA
STEI,A1,5MST150,5,-150,17.9,17.5,BULK,A-Horizon,STEI_A1_5MST150_5_-150_17.9_17.5_BULK_A-Horizon,19.69,2347,68174,3610,104855,5056,146882,NA
STEI,A1,5MST33,5,-33,17.9,17.5,BULK,A-Horizon,STEI_A1_5MST33_5_-33_17.9_17.5_BULK_A-Horizon,19.72,2376,69016,3017,87650,3768,109452,NA
STEI,Bs1,0MST400,0,-400,17.9,17.5,BULK,Upper B-Horizon,STEI_Bs1_0MST400_0_-400_17.9_17.5_BULK_Upper B-Horizon,19.81,200,17207,308,26416,475,40781,NA
STEI,Bs1,0MST150,0,-150,17.9,17.5,BULK,Upper B-Horizon,STEI_Bs1_0MST150_0_-150_17.9_17.5_BULK_Upper B-Horizon,19.78,239,20481,371,31889,661,56741,NA
STEI,Bs1,0MST33,0,-33,17.9,17.5,BULK,Upper B-Horizon,STEI_Bs1_0MST33_0_-33_17.9_17.5_BULK_Upper B-Horizon,19.83,233,20011,379,32574,909,78015,NA
STEI,Bs1,5MST400,5,-400,17.9,17.5,BULK,Upper B-Horizon,STEI_Bs1_5MST400_5_-400_17.9_17.5_BULK_Upper B-Horizon,19.83,295,25294,449,38574,717,61561,NA
STEI,Bs1,5MST150,5,-150,17.9,17.5,BULK,Upper B-Horizon,STEI_Bs1_5MST150_5_-150_17.9_17.5_BULK_Upper B-Horizon,19.81,314,26937,511,43911,983,84372,NA
STEI,Bs1,5MST33,5,-33,17.9,17.5,BULK,Upper B-Horizon,STEI_Bs1_5MST33_5_-33_17.9_17.5_BULK_Upper B-Horizon,19.81,344,29501,628,53945,1178,101128,NA
SJER,A,0MST400,0,-400,25.6,25,BULK,A-Horizon,SJER_A_0MST400_0_-400_25.6_25_BULK_A-Horizon,19.94,216,37981,341,59800,479,84173,NA
SJER,A,0MST150,0,-150,25.6,25,BULK,A-Horizon,SJER_A_0MST150_0_-150_25.6_25_BULK_A-Horizon,19.89,248,43475,403,70713,610,107118,NA
SJER,A,0MST33,0,-33,25.6,25,BULK,A-Horizon,SJER_A_0MST33_0_-33_25.6_25_BULK_A-Horizon,19.96,289,50760,455,79971,613,107665,NA
SJER,A,5MST400,5,-400,25.6,25,BULK,A-Horizon,SJER_A_5MST400_5_-400_25.6_25_BULK_A-Horizon,19.95,286,50311,425,74612,640,112368,NA
SJER,A,5MST150,5,-150,25.6,25,BULK,A-Horizon,SJER_A_5MST150_5_-150_25.6_25_BULK_A-Horizon,19.91,291,51155,453,79561,669,117495,NA
SJER,A,5MST33,5,-33,25.6,25,BULK,A-Horizon,SJER_A_5MST33_5_-33_25.6_25_BULK_A-Horizon,19.93,350,61505,540,94914,748,131435,NA
SJER,Bw1,0MST400,0,-400,25.6,25,BULK,Upper B-Horizon,SJER_Bw1_0MST400_0_-400_25.6_25_BULK_Upper B-Horizon,19.87,31,28668,54,49885,87,79996,NA
SJER,Bw1,0MST150,0,-150,25.6,25,BULK,Upper B-Horizon,SJER_Bw1_0MST150_0_-150_25.6_25_BULK_Upper B-Horizon,19.94,28,26187,44,40461,70,64528,NA
SJER,Bw1,0MST33,0,-33,25.6,25,BULK,Upper B-Horizon,SJER_Bw1_0MST33_0_-33_25.6_25_BULK_Upper B-Horizon,19.93,29,27073,43,39075,61,56200,NA
SJER,Bw1,5MST400,5,-400,25.6,25,BULK,Upper B-Horizon,SJER_Bw1_5MST400_5_-400_25.6_25_BULK_Upper B-Horizon,19.87,33,30114,62,57182,97,89276,NA
SJER,Bw1,5MST150,5,-150,25.6,25,BULK,Upper B-Horizon,SJER_Bw1_5MST150_5_-150_25.6_25_BULK_Upper B-Horizon,19.93,34,30978,65,59564,115,105299,NA
SJER,Bw1,5MST33,5,-33,25.6,25,BULK,Upper B-Horizon,SJER_Bw1_5MST33_5_-33_25.6_25_BULK_Upper B-Horizon,19.91,36,33290,66,60250,121,110794,NA
SOAP,A,0MST400,0,-400,22.3,22.5,BULK,A-Horizon,SOAP_A_0MST400_0_-400_22.3_22.5_BULK_A-Horizon,19.67,686,24660,1028,36951,1479,53152,NA
SOAP,A,0MST150,0,-150,22.3,22.5,BULK,A-Horizon,SOAP_A_0MST150_0_-150_22.3_22.5_BULK_A-Horizon,19.6,710,25525,1052,37803,1550,55707,NA
SOAP,A,0MST33,0,-33,22.3,22.5,BULK,A-Horizon,SOAP_A_0MST33_0_-33_22.3_22.5_BULK_A-Horizon,19.67,797,28651,1192,42835,1695,60915,NA
SOAP,A,5MST400,5,-400,22.3,22.5,BULK,A-Horizon,SOAP_A_5MST400_5_-400_22.3_22.5_BULK_A-Horizon,19.62,838,30111,1255,45127,1937,69621,NA
SOAP,A,5MST150,5,-150,22.3,22.5,BULK,A-Horizon,SOAP_A_5MST150_5_-150_22.3_22.5_BULK_A-Horizon,19.59,849,30510,1270,45632,1895,68124,NA
SOAP,A,5MST33,5,-33,22.3,22.5,BULK,A-Horizon,SOAP_A_5MST33_5_-33_22.3_22.5_BULK_A-Horizon,19.62,916,32918,1320,47434,1921,69038,NA
SOAP,Bt1,0MST400,0,-400,22.3,22.5,BULK,Upper B-Horizon,SOAP_Bt1_0MST400_0_-400_22.3_22.5_BULK_Upper B-Horizon,19.45,82,14412,118,20688,186,32765,NA
SOAP,Bt1,0MST150,0,-150,22.3,22.5,BULK,Upper B-Horizon,SOAP_Bt1_0MST150_0_-150_22.3_22.5_BULK_Upper B-Horizon,19.49,94,16532,127,22349,195,34293,NA
SOAP,Bt1,0MST33,0,-33,22.3,22.5,BULK,Upper B-Horizon,SOAP_Bt1_0MST33_0_-33_22.3_22.5_BULK_Upper B-Horizon,19.52,108,19032,157,27588,263,46285,NA
SOAP,Bt1,5MST400,5,-400,22.3,22.5,BULK,Upper B-Horizon,SOAP_Bt1_5MST400_5_-400_22.3_22.5_BULK_Upper B-Horizon,19.46,112,19722,165,29086,262,46032,NA
SOAP,Bt1,5MST150,5,-150,22.3,22.5,BULK,Upper B-Horizon,SOAP_Bt1_5MST150_5_-150_22.3_22.5_BULK_Upper B-Horizon,19.49,119,20906,192,33759,391,68671,NA
SOAP,Bt1,5MST33,5,-33,22.3,22.5,BULK,Upper B-Horizon,SOAP_Bt1_5MST33_5_-33_22.3_22.5_BULK_Upper B-Horizon,19.5,121,21185,182,32063,310,54530,NA
STER,Ap1,0MST400,0,-400,21.6,22.5,BULK,A-Horizon,STER_Ap1_0MST400_0_-400_21.6_22.5_BULK_A-Horizon,19.43,422,41756,600,59404,871,86181,NA
STER,Ap1,0MST150,0,-150,21.6,22.5,BULK,A-Horizon,STER_Ap1_0MST150_0_-150_21.6_22.5_BULK_A-Horizon,19.42,485,47975,665,65810,931,92144,NA
STER,Ap1,0MST33,0,-33,21.6,22.5,BULK,A-Horizon,STER_Ap1_0MST33_0_-33_21.6_22.5_BULK_A-Horizon,19.44,549,54370,770,76216,1098,108706,NA
STER,Ap1,5MST400,5,-400,21.6,22.5,BULK,A-Horizon,STER_Ap1_5MST400_5_-400_21.6_22.5_BULK_A-Horizon,19.47,555,54926,811,80294,1114,110232,NA
STER,Ap1,5MST150,5,-150,21.6,22.5,BULK,A-Horizon,STER_Ap1_5MST150_5_-150_21.6_22.5_BULK_A-Horizon,19.42,630,62369,883,87362,1231,121833,NA
STER,Ap1,5MST33,5,-33,21.6,22.5,BULK,A-Horizon,STER_Ap1_5MST33_5_-33_21.6_22.5_BULK_A-Horizon,19.42,701,69350,965,95535,1353,133850,NA
STER,Bkt1,0MST400,0,-400,21.6,22.5,BULK,Upper B-Horizon,STER_Bkt1_0MST400_0_-400_21.6_22.5_BULK_Upper B-Horizon,19.51,56,13412,80,19013,165,39359,NA
STER,Bkt1,0MST150,0,-150,21.6,22.5,BULK,Upper B-Horizon,STER_Bkt1_0MST150_0_-150_21.6_22.5_BULK_Upper B-Horizon,19.43,58,13727,79,18736,145,34537,NA
STER,Bkt1,0MST33,0,-33,21.6,22.5,BULK,Upper B-Horizon,STER_Bkt1_0MST33_0_-33_21.6_22.5_BULK_Upper B-Horizon,19.48,74,17648,104,24902,201,47907,NA
STER,Bkt1,5MST400,5,-400,21.6,22.5,BULK,Upper B-Horizon,STER_Bkt1_5MST400_5_-400_21.6_22.5_BULK_Upper B-Horizon,19.43,72,17106,96,22898,184,43905,NA
STER,Bkt1,5MST150,5,-150,21.6,22.5,BULK,Upper B-Horizon,STER_Bkt1_5MST150_5_-150_21.6_22.5_BULK_Upper B-Horizon,19.51,90,21500,131,31271,255,60711,NA
STER,Bkt1,5MST33,5,-33,21.6,22.5,BULK,Upper B-Horizon,STER_Bkt1_5MST33_5_-33_21.6_22.5_BULK_Upper B-Horizon,19.5,111,26375,152,36187,243,58031,NA
TALL,A1,0MST400,0,-400,26.2,25,BULK,A-Horizon,TALL_A1_0MST400_0_-400_26.2_25_BULK_A-Horizon,19.9,781,26721,1118,38264,1567,53631,NA
TALL,A1,0MST150,0,-150,26.2,25,BULK,A-Horizon,TALL_A1_0MST150_0_-150_26.2_25_BULK_A-Horizon,19.9,790,27060,1141,39057,1547,52973,NA
TALL,A1,0MST33,0,-33,26.2,25,BULK,A-Horizon,TALL_A1_0MST33_0_-33_26.2_25_BULK_A-Horizon,19.97,944,32305,1341,45900,1694,57988,NA
TALL,A1,5MST400,5,-400,26.2,25,BULK,A-Horizon,TALL_A1_5MST400_5_-400_26.2_25_BULK_A-Horizon,19.94,922,31577,1305,44665,1798,61553,NA
TALL,A1,5MST150,5,-150,26.2,25,BULK,A-Horizon,TALL_A1_5MST150_5_-150_26.2_25_BULK_A-Horizon,19.93,1178,40344,1707,58422,2293,78483,NA
TALL,A1,5MST33,5,-33,26.2,25,BULK,A-Horizon,TALL_A1_5MST33_5_-33_26.2_25_BULK_A-Horizon,19.96,NA,NA,NA,NA,NA,NA,"Potential issue w/ lid not sealing properly for sampling period 01 through 07; consequently, data for t = 13, 26, and 52 weeks potentially not valid"
TALL,Bt1,0MST400,0,-400,26.2,25,BULK,Upper B-Horizon,TALL_Bt1_0MST400_0_-400_26.2_25_BULK_Upper B-Horizon,19.99,20,20035,30,30027,46,44953,NA
TALL,Bt1,0MST150,0,-150,26.2,25,BULK,Upper B-Horizon,TALL_Bt1_0MST150_0_-150_26.2_25_BULK_Upper B-Horizon,19.97,17,16916,33,32977,61,60569,NA
TALL,Bt1,0MST33,0,-33,26.2,25,BULK,Upper B-Horizon,TALL_Bt1_0MST33_0_-33_26.2_25_BULK_Upper B-Horizon,19.92,15,14939,23,22809,56,55439,NA
TALL,Bt1,5MST400,5,-400,26.2,25,BULK,Upper B-Horizon,TALL_Bt1_5MST400_5_-400_26.2_25_BULK_Upper B-Horizon,19.98,17,16771,28,27152,45,43906,NA
TALL,Bt1,5MST150,5,-150,26.2,25,BULK,Upper B-Horizon,TALL_Bt1_5MST150_5_-150_26.2_25_BULK_Upper B-Horizon,19.98,18,17839,28,27799,51,49952,NA
TALL,Bt1,5MST33,5,-33,26.2,25,BULK,Upper B-Horizon,TALL_Bt1_5MST33_5_-33_26.2_25_BULK_Upper B-Horizon,19.96,31,30135,52,51017,85,83982,NA
TREE,A1,0MST400,0,-400,17.9,17.5,BULK,A-Horizon,TREE_A1_0MST400_0_-400_17.9_17.5_BULK_A-Horizon,19.78,845,27351,1075,34778,1396,45187,NA
TREE,A1,0MST150,0,-150,17.9,17.5,BULK,A-Horizon,TREE_A1_0MST150_0_-150_17.9_17.5_BULK_A-Horizon,19.77,896,29008,1151,37240,1464,47370,NA
TREE,A1,0MST33,0,-33,17.9,17.5,BULK,A-Horizon,TREE_A1_0MST33_0_-33_17.9_17.5_BULK_A-Horizon,19.77,950,30725,1189,38474,1496,48394,NA
TREE,A1,5MST400,5,-400,17.9,17.5,BULK,A-Horizon,TREE_A1_5MST400_5_-400_17.9_17.5_BULK_A-Horizon,19.79,1181,38204,1535,49672,2006,64898,NA
TREE,A1,5MST150,5,-150,17.9,17.5,BULK,A-Horizon,TREE_A1_5MST150_5_-150_17.9_17.5_BULK_A-Horizon,19.84,1245,40296,1622,52498,2094,67761,NA
TREE,A1,5MST33,5,-33,17.9,17.5,BULK,A-Horizon,TREE_A1_5MST33_5_-33_17.9_17.5_BULK_A-Horizon,19.84,1326,42896,1670,54028,2128,68844,NA
TREE,Bs2,0MST400,0,-400,17.9,17.5,BULK,Upper B-Horizon,TREE_Bs2_0MST400_0_-400_17.9_17.5_BULK_Upper B-Horizon,19.85,83,16094,122,23647,206,39850,NA
