site_id,horizon,extract,incubation,fraction,C_conc_mg_g,C_error_mg_g
RMNP,B/C,HWE,PRE,BULK,0.09622669242909541,0.005364441933739514
SCBI,BA,CWE,PRE,BULK,0.2729068145730141,0.04894913899405865
SCBI,BA,HWE,PRE,BULK,0.7855561630953071,0.14378387064942355
SCBI,A,CWE,PRE,BULK,0.4577720095429356,0.14385171328016919
SCBI,A,HWE,PRE,BULK,1.9824878279699536,0.06538045694722307
SCBI,Bt1,CWE,PRE,BULK,0.0645205183368322,0.010657410731817871
SCBI,Bt1,HWE,PRE,BULK,0.10939635678496851,0.010285494619955433
SCBI,Bt2,CWE,PRE,BULK,0.0760404521221562,0.008781504873279073
SCBI,Bt2,HWE,PRE,BULK,0.1313481408711141,0.016894658642124298
SERC,Bt1,CWE,PRE,BULK,0.09305960333949237,0.017089453897110345
SERC,Bt1,HWE,PRE,BULK,0.12274026022857851,0.022141484770503986
SERC,Btg3,CWE,PRE,BULK,0.20767210893227653,0.1557516275728895
SERC,Btg3,HWE,PRE,BULK,0.048511628351724796,0.001197540778979716
SJER,AB,CWE,PRE,BULK,0.09894350530819891,0.01942550439750768
SJER,AB,HWE,PRE,BULK,0.07998413921779335,0.03231847929499541
SJER,A,CWE,PRE,BULK,0.11295917016906717,0.08112278431685951
SJER,A,HWE,PRE,BULK,0.17127084998443715,0.034534110002967744
SJER,Bw1,CWE,PRE,BULK,0.06509912173475262,0.009788468349466293
SJER,Bw1,HWE,PRE,BULK,0.09096274026570111,0.015808188186377033
SOAP,A,CWE,PRE,BULK,0.10428891711736016,0.012976714405826434
SOAP,A,HWE,PRE,BULK,0.5915668899783496,0.06718337504152841
SOAP,AB,CWE,PRE,BULK,0.24354199699272294,0.06857679140980757
SOAP,AB,HWE,PRE,BULK,0.30479494732338125,0.016951441531700664
SOAP,Bt1,CWE,PRE,BULK,0.09425214891447797,0.009397157830887919
SOAP,Bt1,HWE,PRE,BULK,0.11532556402820342,0.002426755580248565
SOAP,Bt3,CWE,PRE,BULK,0.046470249334806916,0.010074510877782359
SOAP,Bt3,HWE,PRE,BULK,0.08409751682596447,0.013469720096183982
SRER,Ak1,CWE,PRE,BULK,0.05189007342885717,0.007936153263296535
SRER,Ak1,HWE,PRE,BULK,0.1177511578266157,0.016635107711145538
SRER,Ak2,CWE,PRE,BULK,0.11618152076715803,0.03821568594181417
SRER,Ak2,HWE,PRE,BULK,0.09747567267344291,0.023181324460996855
SRER,Bw,CWE,PRE,BULK,0.046326010137860946,0.003987322325975405
SRER,Bw,HWE,PRE,BULK,0.6375762342131269,0.02678386693092569
SRER,Ck,CWE,PRE,BULK,0.03610119136704664,0.012194520102721451
SRER,Ck,HWE,PRE,BULK,0.0422740387187657,0.012854061947060163
STEI,Bs1,CWE,PRE,BULK,0.12557709609214265,0.006387374400298669
STEI,Bs1,HWE,PRE,BULK,0.3322458484575079,0.016267915050513438
STEI,BC2,CWE,PRE,BULK,0.054101973944619824,0.015139343829711762
STEI,BC2,HWE,PRE,BULK,0.11183385812306983,0.030122524766500038
STER,Ap1,CWE,PRE,BULK,0.11912119976895175,0.008878635441247076
STER,Ap1,HWE,PRE,BULK,0.35590415228458294,0.013100416741711238
STER,Bkt1,CWE,PRE,BULK,0.14798590599224648,0.025617588392985523
STER,Bkt1,HWE,PRE,BULK,0.32503022543830845,0.1650356324803069
STER,Bkt2,CWE,PRE,BULK,0.040636241684971125,0.0014041826323870753
STER,Bkt2,HWE,PRE,BULK,0.056260512731556266,0.004060594130388617
TALL,A1,CWE,PRE,BULK,0.3072912965071754,0.06933449635220233
TALL,A1,HWE,PRE,BULK,0.6851528877808244,0.0438243428522907
TALL,Bt3,CWE,PRE,BULK,0.04165342541210937,0.00824692945901981
TALL,Bt3,HWE,PRE,BULK,0.061325713534512105,0.006811142359505151
TALL,Bt1,CWE,PRE,BULK,0.04926053681542283,0.014921773450878991
TALL,Bt1,HWE,PRE,BULK,0.4214454757519215,0.3428750866317511
TOOL,Af,CWE,PRE,BULK,0.23682531398724382,0.02437700918440905
TOOL,Af,HWE,PRE,BULK,1.5525993542807142,0.1197942640118634
TOOL,Oaef,CWE,PRE,BULK,0.8052920509574805,0.12264731042766279
TOOL,Oaef,HWE,PRE,BULK,5.0846458448274605,0.2088717487617197
TOOL,BCfjj,CWE,PRE,BULK,0.28609394373060876,0.021602975393693203
TOOL,BCfjj,HWE,PRE,BULK,1.550551238390948,0.0553561444293868
TREE,A2,CWE,PRE,BULK,0.12842942530206383,0.00795779683709781
TREE,A2,HWE,PRE,BULK,0.420339230264122,0.023853874901983492
TREE,Bs2,CWE,PRE,BULK,0.08174866336615215,0.0043446029177195014
TREE,Bs2,HWE,PRE,BULK,0.24580984327764463,0.01844045524188728
TREE,BC1,CWE,PRE,BULK,0.03486911839445691,0.002749765104202936
TREE,BC1,HWE,PRE,BULK,0.08332470733735392,0.009114995363683018
UNDE,A,CWE,PRE,BULK,0.4233673749370396,0.065655545232528
UNDE,A,HWE,PRE,BULK,1.396565752826522,0.043564552323987704
UNDE,Bhs,CWE,PRE,BULK,0.10225500959763817,0.006775220870676071
UNDE,Bhs,HWE,PRE,BULK,0.4149523522794871,0.04521475048223307
UNDE,Bs1,CWE,PRE,BULK,0.04192101911581645,8.735178006422509e-4
UNDE,Bs1,HWE,PRE,BULK,0.13674219390129952,0.015214421538868445
WOOD,Apk,CWE,PRE,BULK,0.12731250784507767,0.01777959444714776
WOOD,Apk,HWE,PRE,BULK,0.6252765758686565,0.07195869430241446
WOOD,2Ck,CWE,PRE,BULK,0.07139001619936866,0.019782454836917637
WOOD,2Ck,HWE,PRE,BULK,0.1300602540289015,0.0061948775479656925
WOOD,Bk1,CWE,PRE,BULK,0.13196912247775397,0.013100654679163012
WOOD,Bk1,HWE,PRE,BULK,0.34105877409529284,0.23731281342657845
WREF,A2,CWE,PRE,BULK,0.1063855227337918,0.0615375385566669
WREF,A2,HWE,PRE,BULK,0.28207002333362174,0.05619735935265039
WREF,Bw1,CWE,PRE,BULK,0.04535999355418004,0.015762225470822306
WREF,Bw1,HWE,PRE,BULK,0.06429353733697969,0.010570143929261748
WREF,Bw2,CWE,PRE,BULK,0.07785754808534041,0.05661035225085292
WREF,Bw2,HWE,PRE,BULK,0.058781805110504626,0.009170950998529742
